0.441884 0.284052 0.284054
0.44312 0.284494 0.284496
0.444357 0.284936 0.284938
0.445596 0.285376 0.285379
0.446835 0.285816 0.285818
0.448076 0.286254 0.286256
0.449317 0.286691 0.286693
0.45056 0.287127 0.287129
0.451804 0.287562 0.287564
0.453049 0.287995 0.287997
0.454295 0.288428 0.28843
0.455542 0.288859 0.288861
0.456791 0.289289 0.289291
0.45804 0.289718 0.28972
0.459291 0.290146 0.290148
0.460542 0.290573 0.290575
0.461795 0.290999 0.291001
0.463049 0.291423 0.291425
0.464304 0.291847 0.291849
0.465561 0.292269 0.292271
0.466818 0.29269 0.292692
0.468077 0.29311 0.293112
0.469337 0.293529 0.293531
0.470598 0.293947 0.293949
0.47186 0.294363 0.294366
0.473124 0.294779 0.294781
0.474388 0.295193 0.295195
0.475654 0.295606 0.295609
0.476921 0.296019 0.296021
0.478189 0.29643 0.296432
0.479458 0.296839 0.296842
0.480729 0.297248 0.29725
0.482001 0.297656 0.297658
0.483274 0.298062 0.298064
0.484548 0.298467 0.29847
0.485824 0.298872 0.298874
0.4871 0.299275 0.299277
0.488378 0.299677 0.299679
0.489658 0.300078 0.30008
0.490938 0.300477 0.30048
0.49222 0.300876 0.300878
0.493503 0.301273 0.301276
0.494787 0.30167 0.301672
0.496073 0.302065 0.302067
0.497359 0.302459 0.302461
0.498647 0.302852 0.302854
0.499937 0.303244 0.303246
0.501227 0.303634 0.303637
0.502519 0.304024 0.304026
0.503813 0.304413 0.304415
0.505107 0.3048 0.304802
0.506403 0.305186 0.305189
0.5077 0.305571 0.305574
0.508999 0.305955 0.305958
0.510298 0.306338 0.30634
0.511599 0.30672 0.306722
0.512902 0.3071 0.307103
0.514206 0.30748 0.307482
0.515511 0.307858 0.307861
0.516817 0.308235 0.308238
0.518125 0.308612 0.308614
0.519434 0.308987 0.308989
0.520745 0.309361 0.309363
0.522057 0.309733 0.309736
0.52337 0.310105 0.310107
0.524685 0.310475 0.310478
0.526001 0.310845 0.310847
0.527318 0.311213 0.311216
0.528637 0.31158 0.311583
0.529957 0.311946 0.311949
0.531279 0.312311 0.312314
0.532602 0.312675 0.312678
0.533927 0.313038 0.31304
0.535253 0.313399 0.313402
0.53658 0.31376 0.313762
0.537909 0.314119 0.314122
0.539239 0.314477 0.31448
0.54057 0.314834 0.314837
0.541904 0.31519 0.315193
0.543238 0.315545 0.315548
